service_date,day_type,bus,rail_boardings,total_rides
10/17/2002,W,1030300,645590,1675890
10/18/2002,W,1059316,643043,1702359
10/19/2002,A,654965,333538,988503
10/20/2002,U,424767,222167,646934
10/21/2002,W,1057968,632256,1690224
10/22/2002,W,1047657,645112,1692769
10/23/2002,W,1013066,635553,1648619
10/24/2002,W,1014798,642039,1656837
10/25/2002,W,1022926,632981,1655907
10/26/2002,A,626185,331030,957215
10/27/2002,U,413385,217556,630941
10/28/2002,W,1041265,628314,1669579
10/29/2002,W,1025525,636398,1661923
10/30/2002,W,1036745,639993,1676738
10/31/2002,W,1000155,635297,1635452
11/01/2002,W,1069031,628183,1697214
11/02/2002,A,647400,313106,960506
11/03/2002,U,418620,211506,630126
11/04/2002,W,1072235,633872,1706107
11/05/2002,W,994530,613203,1607733
11/06/2002,W,1045767,644971,1690738
11/07/2002,W,1065889,664817,1730706
11/08/2002,W,995294,646927,1642221
11/09/2002,A,630142,329264,959406
11/10/2002,U,419858,220134,639992
11/11/2002,W,780558,519021,1299579
11/12/2002,W,1029700,637242,1666942
11/13/2002,W,1035982,635224,1671206
11/14/2002,W,956533,625010,1581543
11/15/2002,W,1042694,630267,1672961
11/16/2002,A,600110,314114,914224
11/17/2002,U,393692,204651,598343
11/18/2002,W,1018831,619368,1638199
11/19/2002,W,1058349,638719,1697068
11/20/2002,W,1033748,630680,1664428
11/21/2002,W,983825,621257,1605082
11/22/2002,W,1030889,618981,1649870
11/23/2002,A,631388,353053,984441
11/24/2002,U,393321,202257,595578
11/25/2002,W,992101,602628,1594729
11/26/2002,W,959679,611673,1571352
11/27/2002,W,946620,584367,1530987
11/28/2002,U,297477,145995,443472
11/29/2002,W,676405,367260,1043665
11/30/2002,A,525319,255100,780419
12/01/2002,U,362192,187150,549342
12/02/2002,W,966808,598780,1565588
12/03/2002,W,1007666,622071,1629737
12/04/2002,W,1003459,610601,1614060
12/05/2002,W,1005218,607822,1613040
12/06/2002,W,1018401,602004,1620405
12/07/2002,A,627855,318034,945889
12/08/2002,U,396717,202070,598787
12/09/2002,W,994622,575116,1569738
12/10/2002,W,1030456,601656,1632112
12/11/2002,W,1021640,603601,1625241
12/12/2002,W,1015667,602683,1618350
12/13/2002,W,1020480,600852,1621332
12/14/2002,A,653848,325639,979487
12/15/2002,U,435253,216394,651647
12/16/2002,W,1003932,577286,1581218
12/17/2002,W,985528,583328,1568856
12/18/2002,W,939870,571921,1511791
12/19/2002,W,1020038,590493,1610531
12/20/2002,W,984913,565925,1550838
12/21/2002,A,614025,284719,898744
12/22/2002,U,404210,194323,598533
12/23/2002,W,827316,467245,1294561
12/24/2002,W,621673,319916,941589
12/25/2002,U,237547,96846,334393
12/26/2002,W,661076,372317,1033393
12/27/2002,W,744896,424575,1169471
12/28/2002,A,528087,236606,764693
12/29/2002,U,380197,181081,561278
12/30/2002,W,773707,469806,1243513
12/31/2002,W,792623,456865,1249488
01/01/2003,U,325478,169985,495463
01/02/2003,W,757781,484840,1242621
01/03/2003,W,861580,515985,1377565
01/04/2003,A,570941,255217,826158
01/05/2003,U,377813,177159,554972
01/06/2003,W,982617,574868,1557485
01/07/2003,W,982542,580676,1563218
01/08/2003,W,1011812,592758,1604570
01/09/2003,W,979678,586435,1566113
01/10/2003,W,963808,567691,1531499
01/11/2003,A,506478,250051,756529
01/12/2003,U,346918,171467,518385
01/13/2003,W,973653,585781,1559434
01/14/2003,W,940805,594400,1535205
01/15/2003,W,928578,583104,1511682
01/16/2003,W,945280,591915,1537195
01/17/2003,W,973358,584772,1558130
01/18/2003,A,512435,261058,773493
01/19/2003,U,327279,172937,500216
01/20/2003,W,604089,375958,980047
01/21/2003,W,954156,590827,1544983
01/22/2003,W,912033,572491,1484524
01/23/2003,W,822317,541015,1363332
01/24/2003,W,893501,546353,1439854
01/25/2003,A,547944,259287,807231
01/26/2003,U,335046,168783,503829
01/27/2003,W,922033,564295,1486328
01/28/2003,W,952120,598146,1550266
01/29/2003,W,970605,594588,1565193
01/30/2003,W,993731,601060,1594791
01/31/2003,W,929004,577555,1506559
02/01/2003,A,639705,291226,930931
02/02/2003,U,415598,192294,607892
02/03/2003,W,1039918,596186,1636104
02/04/2003,W,980582,597044,1577626
02/05/2003,W,961776,585552,1547328
02/06/2003,W,981973,596888,1578861
02/07/2003,W,953979,573249,1527228
02/08/2003,A,563430,270521,833951
02/09/2003,U,367964,180861,548825
02/10/2003,W,948507,584120,1532627
02/11/2003,W,928346,592292,1520638
02/12/2003,W,749254,523192,1272446
02/13/2003,W,978871,597819,1576690
02/14/2003,W,985806,594045,1579851
02/15/2003,A,543945,271823,815768
02/16/2003,U,365939,188276,554215
02/17/2003,W,709845,447938,1157783
02/18/2003,W,974450,604717,1579167
02/19/2003,W,982943,605097,1588040
02/20/2003,W,988095,611766,1599861
02/21/2003,W,1005940,601156,1607096
02/22/2003,A,529921,276538,806459
02/23/2003,U,377363,185905,563268
02/24/2003,W,908324,574013,1482337
02/25/2003,W,897857,572520,1470377
02/26/2003,W,939161,588630,1527791
02/27/2003,W,951569,599144,1550713
02/28/2003,W,1011530,597504,1609034
03/01/2003,A,610177,291264,901441
03/02/2003,U,347417,182200,529617
03/03/2003,W,822165,535306,1357471
03/04/2003,W,964967,606043,1571010
03/05/2003,W,868551,583929,1452480
03/06/2003,W,874641,573715,1448356
03/07/2003,W,980484,584273,1564757
03/08/2003,A,550093,274523,824616
03/09/2003,U,335884,177874,513758
03/10/2003,W,916661,573635,1490296
03/11/2003,W,971894,601034,1572928
03/12/2003,W,981590,604333,1585923
03/13/2003,W,978881,609896,1588777
03/14/2003,W,1009566,615377,1624943
03/15/2003,A,637081,381570,1018651
03/16/2003,U,429227,235438,664665
03/17/2003,W,976703,597982,1574685
03/18/2003,W,963349,596226,1559575
03/19/2003,W,938499,586881,1525380
03/20/2003,W,936654,594341,1530995
03/21/2003,W,967479,588655,1556134
03/22/2003,A,577660,292329,869989
03/23/2003,U,410745,215626,626371
03/24/2003,W,962889,584149,1547038
03/25/2003,W,973017,594589,1567606
03/26/2003,W,968581,594924,1563505
03/27/2003,W,969195,593676,1562871
03/28/2003,W,815984,552242,1368226
03/29/2003,A,555638,280361,835999
03/30/2003,U,372071,191109,563180
03/31/2003,W,973924,577834,1551758
04/01/2003,W,1028531,603564,1632095
04/02/2003,W,1020829,602855,1623684
04/03/2003,W,995062,592074,1587136
04/04/2003,W,912458,572837,1485295
04/05/2003,A,593273,293496,886769
04/06/2003,U,370275,188467,558742
04/07/2003,W,873605,565391,1438996
04/08/2003,W,947482,599769,1547251
04/09/2003,W,986992,611985,1598977
04/10/2003,W,1007977,624279,1632256
04/11/2003,W,912918,600667,1513585
04/12/2003,A,602670,321354,924024
04/13/2003,U,407540,219553,627093
04/14/2003,W,904517,593473,1497990
04/15/2003,W,894368,606461,1500829
04/16/2003,W,836328,578259,1414587
04/17/2003,W,815274,563613,1378887
04/18/2003,W,769997,482196,1252193
04/19/2003,A,562148,263464,825612
04/20/2003,U,368478,172399,540877
04/21/2003,W,925231,572442,1497673
04/22/2003,W,964240,617403,1581643
04/23/2003,W,923474,613127,1536601
04/24/2003,W,961316,620140,1581456
04/25/2003,W,979369,595103,1574472
04/26/2003,A,588057,300728,888785
04/27/2003,U,403462,210716,614178
04/28/2003,W,962103,582145,1544248
04/29/2003,W,958977,595629,1554606
04/30/2003,W,828642,567596,1396238
05/01/2003,W,971218,597161,1568379
05/02/2003,W,1039212,616460,1655672
05/03/2003,A,645503,335590,981093
05/04/2003,U,395799,214366,610165
05/05/2003,W,1006467,608082,1614549
05/06/2003,W,1007795,626276,1634071
05/07/2003,W,977279,610370,1587649
05/08/2003,W,984692,605164,1589856
05/09/2003,W,992211,616706,1608917
05/10/2003,A,577508,301857,879365
05/11/2003,U,322449,193398,515847
05/12/2003,W,956974,580553,1537527
05/13/2003,W,981698,602563,1584261
05/14/2003,W,911890,583198,1495088
05/15/2003,W,971525,598384,1569909
05/16/2003,W,999630,589910,1589540
05/17/2003,A,614484,304723,919207
05/18/2003,U,403043,207860,610903
05/19/2003,W,961806,579665,1541471
05/20/2003,W,966295,594508,1560803
05/21/2003,W,992696,592768,1585464
05/22/2003,W,967683,590893,1558576
05/23/2003,W,969112,575372,1544484
05/24/2003,A,591523,301068,892591
05/25/2003,U,408454,223466,631920
05/26/2003,U,380796,224023,604819
05/27/2003,W,961009,597804,1558813
05/28/2003,W,910537,586704,1497241
05/29/2003,W,961715,595331,1557046
05/30/2003,W,988281,613622,1601903
05/31/2003,A,575015,318134,893149
06/01/2003,U,422827,245291,668118
06/02/2003,W,978201,583126,1561327
06/03/2003,W,992041,610279,1602320
06/04/2003,W,997077,615414,1612491
06/05/2003,W,991907,622481,1614388
06/06/2003,W,962917,615632,1578549
06/07/2003,A,634650,354198,988848
06/08/2003,U,380953,229228,610181
06/09/2003,W,987516,590887,1578403
06/10/2003,W,940459,596552,1537011
06/11/2003,W,961149,607043,1568192
06/12/2003,W,969572,604883,1574455
06/13/2003,W,976147,592987,1569134
06/14/2003,A,626911,320029,946940
06/15/2003,U,421515,221822,643337
06/16/2003,W,955066,581387,1536453
06/17/2003,W,965718,601420,1567138
06/18/2003,W,897454,587986,1485440
06/19/2003,W,946693,596124,1542817
06/20/2003,W,938177,611219,1549396
06/21/2003,A,610796,345895,956691
06/22/2003,U,423283,242077,665360
06/23/2003,W,855955,568379,1424334
06/24/2003,W,928442,620552,1548994
06/25/2003,W,841205,603880,1445085
06/26/2003,W,833307,600660,1433967
06/27/2003,W,890776,661150,1551926
06/28/2003,A,561500,350162,911662
06/29/2003,U,421380,329753,751133
06/30/2003,W,884729,611874,1496603
07/01/2003,W,957351,634210,1591561
07/02/2003,W,936777,640212,1576989
07/03/2003,W,983110,790702,1773812
07/04/2003,U,471591,347887,819478
07/05/2003,A,549605,363309,912914
07/06/2003,U,389816,269228,659044
07/07/2003,W,852771,569437,1422208
07/08/2003,W,846175,579733,1425908
07/09/2003,W,871942,598967,1470909
07/10/2003,W,893195,614469,1507664
07/11/2003,W,907669,615433,1523102
07/12/2003,A,607118,339152,946270
07/13/2003,U,421579,257051,678630
07/14/2003,W,905206,611190,1516396
07/15/2003,W,874304,618204,1492508
07/16/2003,W,915630,597927,1513557
07/17/2003,W,861722,579675,1441397
07/18/2003,W,902204,590356,1492560
07/19/2003,A,619480,324535,944015
07/20/2003,U,403847,224010,627857
07/21/2003,W,883219,578363,1461582
07/22/2003,W,889426,590880,1480306
07/23/2003,W,906650,622160,1528810
07/24/2003,W,896387,622281,1518668
07/25/2003,W,903368,591792,1495160
07/26/2003,A,584819,312502,897321
07/27/2003,U,367151,222589,589740
07/28/2003,W,849172,562933,1412105
07/29/2003,W,903830,615414,1519244
07/30/2003,W,880392,616406,1496798
07/31/2003,W,889575,617395,1506970
08/01/2003,W,912597,605206,1517803
08/02/2003,A,678701,399990,1078691
08/03/2003,U,387659,244986,632645
08/04/2003,W,920408,585024,1505432
08/05/2003,W,918113,600556,1518669
08/06/2003,W,883115,581895,1465010
08/07/2003,W,923161,584026,1507187
08/08/2003,W,903597,583831,1487428
08/09/2003,A,638279,371415,1009694
08/10/2003,U,418764,244876,663640
08/11/2003,W,806587,566910,1373497
08/12/2003,W,864526,595230,1459756
08/13/2003,W,875224,614427,1489651
08/14/2003,W,857542,592601,1450143
08/15/2003,W,873580,602111,1475691
08/16/2003,A,627785,363117,990902
08/17/2003,U,462931,290507,753438
08/18/2003,W,821919,559214,1381133
08/19/2003,W,853603,577418,1431021
08/20/2003,W,838351,567116,1405467
08/21/2003,W,820578,562565,1383143
08/22/2003,W,867524,576202,1443726
08/23/2003,A,585510,313035,898545
08/24/2003,U,408305,227185,635490
08/25/2003,W,850528,561134,1411662
08/26/2003,W,836703,573211,1409914
08/27/2003,W,862298,578962,1441260
08/28/2003,W,857707,578781,1436488
08/29/2003,W,902436,604839,1507275
08/30/2003,A,622090,339474,961564
08/31/2003,U,396860,242605,639465
09/01/2003,U,326772,199296,526068
09/02/2003,W,1025978,648864,1674842
09/03/2003,W,1059974,650319,1710293
09/04/2003,W,1040002,652383,1692385
09/05/2003,W,1044868,634834,1679702
09/06/2003,A,625347,334013,959360
09/07/2003,U,421385,222973,644358
09/08/2003,W,1028540,623072,1651612
09/09/2003,W,1030074,632686,1662760
09/10/2003,W,1019275,645858,1665133
09/11/2003,W,1018196,639732,1657928
09/12/2003,W,1002297,650171,1652468
09/13/2003,A,601330,350594,951924
09/14/2003,U,386248,235410,621658
09/15/2003,W,1015639,653569,1669208
09/16/2003,W,1033950,663607,1697557
09/17/2003,W,1023215,663761,1686976
09/18/2003,W,1023301,647465,1670766
09/19/2003,W,1019769,642616,1662385
09/20/2003,A,618523,338787,957310
09/21/2003,U,421320,231095,652415
09/22/2003,W,992288,638244,1630532
09/23/2003,W,1023379,655433,1678812
09/24/2003,W,973736,643836,1617572
09/25/2003,W,1006367,648354,1654721
09/26/2003,W,939175,643987,1583162
09/27/2003,A,591935,358390,950325
09/28/2003,U,377248,236781,614029
09/29/2003,W,1001427,637350,1638777
09/30/2003,W,1000725,637394,1638119
10/01/2003,W,1051684,644239,1695923
10/02/2003,W,1016259,641608,1657867
10/03/2003,W,999345,667963,1667308
10/04/2003,A,651128,383554,1034682
10/05/2003,U,428277,236860,665137
10/06/2003,W,1018276,618461,1636737
10/07/2003,W,1051869,699907,1751776
10/08/2003,W,1026066,693316,1719382
10/09/2003,W,1011003,650911,1661914
10/10/2003,W,1031598,661985,1693583
10/11/2003,A,628499,366667,995166
10/12/2003,U,411927,351185,763112
10/13/2003,W,780132,547856,1327988
10/14/2003,W,928265,691539,1619804
10/15/2003,W,1026737,711785,1738522
10/16/2003,W,1013203,650877,1664080
10/17/2003,W,1023752,651230,1674982
10/18/2003,A,633461,362376,995837
10/19/2003,U,422713,241241,663954
10/20/2003,W,1077011,632330,1709341
10/21/2003,W,958546,644683,1603229
10/22/2003,W,1003925,640420,1644345
10/23/2003,W,1008328,644198,1652526
10/24/2003,W,1008879,639483,1648362
10/25/2003,A,615584,332732,948316
10/26/2003,U,395925,231808,627733
10/27/2003,W,990268,620687,1610955
10/28/2003,W,978501,631318,1609819
10/29/2003,W,986799,637933,1624732
10/30/2003,W,1006074,652674,1658748
10/31/2003,W,996142,628603,1624745
11/01/2003,A,606945,309648,916593
11/02/2003,U,397515,215452,612967
11/03/2003,W,1007989,614598,1622587
11/04/2003,W,1003988,630296,1634284
11/05/2003,W,1015157,639104,1654261
11/06/2003,W,1015139,644961,1660100
11/07/2003,W,906629,620991,1527620
11/08/2003,A,566334,320811,887145
11/09/2003,U,383993,221796,605789
11/10/2003,W,981163,606222,1587385
11/11/2003,W,789039,542871,1331910
11/12/2003,W,977852,627509,1605361
11/13/2003,W,901163,616525,1517688
11/14/2003,W,964479,632553,1597032
11/15/2003,A,567411,334186,901597
11/16/2003,U,382584,222633,605217
11/17/2003,W,996959,618428,1615387
11/18/2003,W,881272,608253,1489525
11/19/2003,W,1011052,632045,1643097
11/20/2003,W,1006072,638332,1644404
11/21/2003,W,1004115,626155,1630270
11/22/2003,A,608476,361622,970098
11/23/2003,U,352918,202523,555441
11/24/2003,W,897941,583860,1481801
11/25/2003,W,945699,602970,1548669
11/26/2003,W,930556,579257,1509813
11/27/2003,U,292469,153251,445720
11/28/2003,W,557794,344266,902060
11/29/2003,A,484077,265968,750045
11/30/2003,U,378933,217629,596562
12/01/2003,W,998632,601364,1599996
12/02/2003,W,984587,605675,1590262
12/03/2003,W,1002993,613563,1616556
12/04/2003,W,962556,610322,1572878
12/05/2003,W,968576,606672,1575248
12/06/2003,A,587823,326475,914298
12/07/2003,U,393784,214938,608722
12/08/2003,W,975766,586022,1561788
12/09/2003,W,959147,594395,1553542
12/10/2003,W,945145,597600,1542745
12/11/2003,W,936467,591327,1527794
12/12/2003,W,912540,575833,1488373
12/13/2003,A,544810,305519,850329
12/14/2003,U,369050,209939,578989
12/15/2003,W,936119,568654,1504773
12/16/2003,W,926650,576496,1503146
12/17/2003,W,925481,573820,1499301
12/18/2003,W,917919,567624,1485543
12/19/2003,W,926113,555922,1482035
12/20/2003,A,564850,289142,853992
12/21/2003,U,415703,218944,634647
12/22/2003,W,797301,508014,1305315
12/23/2003,W,770607,486462,1257069
12/24/2003,W,610061,333655,943716
12/25/2003,U,247349,101016,348365
12/26/2003,W,605667,321094,926761
12/27/2003,A,507042,232980,740022
12/28/2003,U,358852,178624,537476
12/29/2003,W,732494,461979,1194473
12/30/2003,W,725126,474545,1199671
12/31/2003,W,678329,430971,1109300
01/01/2004,U,300347,174003,474350
01/02/2004,W,754051,421851,1175902
01/03/2004,A,560436,250130,810566
01/04/2004,U,303611,162880,466491
01/05/2004,W,894467,548650,1443117
01/06/2004,W,788158,516396,1304554
01/07/2004,W,851011,536299,1387310
01/08/2004,W,903950,556891,1460841
01/09/2004,W,929117,560519,1489636
01/10/2004,A,526469,261687,788156
01/11/2004,U,368655,180035,548690
01/12/2004,W,982070,588906,1570976
01/13/2004,W,977382,596765,1574147
01/14/2004,W,956180,591625,1547805
01/15/2004,W,962171,590965,1553136
01/16/2004,W,969715,578153,1547868
01/17/2004,A,534831,278142,812973
01/18/2004,U,342002,178641,520643
01/19/2004,W,557712,353859,911571
01/20/2004,W,939415,572634,1512049
01/21/2004,W,949321,576593,1525914
01/22/2004,W,854150,542344,1396494
01/23/2004,W,903734,550366,1454100
01/24/2004,A,521800,263571,785371
01/25/2004,U,343967,176977,520944
01/26/2004,W,925536,566031,1491567
01/27/2004,W,906997,586852,1493849
01/28/2004,W,887763,565269,1453032
01/29/2004,W,855905,553448,1409353
01/30/2004,W,756185,500887,1257072
01/31/2004,A,531967,246213,778180
02/01/2004,U,355491,170793,526284
02/02/2004,W,914997,566503,1481500
02/03/2004,W,957823,591153,1548976
02/04/2004,W,947079,581672,1528751
02/05/2004,W,931453,586671,1518124
02/06/2004,W,937566,572957,1510523
02/07/2004,A,553301,281792,835093
02/08/2004,U,369314,185893,555207
02/09/2004,W,948814,578071,1526885
02/10/2004,W,948181,593014,1541195
02/11/2004,W,959174,594399,1553573
02/12/2004,W,796644,537211,1333855
02/13/2004,W,958969,580969,1539938
02/14/2004,A,610834,301728,912562
02/15/2004,U,368733,191759,560492
02/16/2004,W,684054,441539,1125593
02/17/2004,W,966524,596810,1563334
02/18/2004,W,957521,593575,1551096
02/19/2004,W,971162,601442,1572604
02/20/2004,W,933678,580459,1514137
02/21/2004,A,585429,288901,874330
02/22/2004,U,402374,187329,589703
02/23/2004,W,954873,577436,1532309
02/24/2004,W,957453,588493,1545946
02/25/2004,W,967236,596639,1563875
02/26/2004,W,973201,598172,1571373
02/27/2004,W,980935,589768,1570703
02/28/2004,A,607923,310337,918260
02/29/2004,U,413029,208258,621287
03/01/2004,W,828169,534603,1362772
03/02/2004,W,992418,597880,1590298
03/03/2004,W,1007360,594376,1601736
03/04/2004,W,936797,584225,1521022
03/05/2004,W,939138,575845,1514983
03/06/2004,A,602180,296173,898353
03/07/2004,U,370231,186924,557155
03/08/2004,W,969634,585973,1555607
03/09/2004,W,965244,597735,1562979
03/10/2004,W,973415,601851,1575266
03/11/2004,W,927076,589420,1516496
03/12/2004,W,942238,580254,1522492
03/13/2004,A,587662,342986,930648
03/14/2004,U,376244,200734,576978
03/15/2004,W,953320,580038,1533358
03/16/2004,W,942197,582515,1524712
03/17/2004,W,932468,589641,1522109
03/18/2004,W,934303,588303,1522606
03/19/2004,W,988154,593249,1581403
03/20/2004,A,607378,311130,918508
03/21/2004,U,365502,189403,554905
03/22/2004,W,941254,559786,1501040
03/23/2004,W,966919,579228,1546147
03/24/2004,W,917804,565878,1483682
03/25/2004,W,948790,577094,1525884
03/26/2004,W,858131,557755,1415886
03/27/2004,A,585553,300842,886395
03/28/2004,U,377339,215088,592427
03/29/2004,W,949103,573929,1523032
03/30/2004,W,949847,579487,1529334
03/31/2004,W,943445,579344,1522789
04/01/2004,W,1000741,592854,1593595
04/02/2004,W,1012716,589043,1601759
04/03/2004,A,633629,304787,938416
04/04/2004,U,407772,198468,606240
04/05/2004,W,971292,571811,1543103
04/06/2004,W,977036,585618,1562654
04/07/2004,W,975244,592042,1567286
04/08/2004,W,967733,588420,1556153
04/09/2004,W,799356,490037,1289393
04/10/2004,A,568003,263036,831039
04/11/2004,U,372246,162703,534949
04/12/2004,W,809673,560649,1370322
04/13/2004,W,831527,571813,1403340
04/14/2004,W,859829,593419,1453248
04/15/2004,W,864352,601171,1465523
04/16/2004,W,861336,600132,1461468
04/17/2004,A,596237,331377,927614
04/18/2004,U,423705,227626,651331
04/19/2004,W,951686,592025,1543711
04/20/2004,W,934712,592319,1527031
04/21/2004,W,943108,597005,1540113
04/22/2004,W,904333,597088,1501421
04/23/2004,W,977752,615945,1593697
04/24/2004,A,570050,314947,884997
04/25/2004,U,373444,218019,591463
04/26/2004,W,962323,576288,1538611
04/27/2004,W,985057,588215,1573272
04/28/2004,W,914358,585375,1499733
04/29/2004,W,909979,580209,1490188
04/30/2004,W,988876,579995,1568871
05/01/2004,A,577088,282452,859540
05/02/2004,U,417360,203143,620503
05/03/2004,W,1028235,580844,1609079
05/04/2004,W,1025965,615968,1641933
05/05/2004,W,1019276,622837,1642113
05/06/2004,W,994277,614497,1608774
05/07/2004,W,960594,591026,1551620
05/08/2004,A,628268,316493,944761
05/09/2004,U,441379,221375,662754
05/10/2004,W,939473,558691,1498164
05/11/2004,W,965692,583729,1549421
05/12/2004,W,944663,576643,1521306
05/13/2004,W,929271,579703,1508974
05/14/2004,W,899684,566238,1465922
05/15/2004,A,615125,308012,923137
05/16/2004,U,418466,214886,633352
05/17/2004,W,961334,567520,1528854
05/18/2004,W,957288,600273,1557561
05/19/2004,W,1010917,613954,1624871
05/20/2004,W,971148,604798,1575946
05/21/2004,W,945657,592577,1538234
05/22/2004,A,571606,316714,888320
05/23/2004,U,398101,224372,622473
05/24/2004,W,964387,572310,1536697
05/25/2004,W,967725,586827,1554552
05/26/2004,W,970166,583785,1553951
05/27/2004,W,960973,583639,1544612
05/28/2004,W,978308,574148,1552456
05/29/2004,A,556778,288249,845027
05/30/2004,U,327264,185353,512617
05/31/2004,U,352611,210076,562687
06/01/2004,W,988657,604744,1593401
06/02/2004,W,995228,605193,1600421
06/03/2004,W,1037077,597741,1634818
06/04/2004,W,1031015,619850,1650865
06/05/2004,A,664804,350348,1015152
06/06/2004,U,433813,247799,681612
06/07/2004,W,975883,602548,1578431
06/08/2004,W,985865,627174,1613039
06/09/2004,W,967899,616418,1584317
06/10/2004,W,927625,614363,1541988
06/11/2004,W,951407,584390,1535797
06/12/2004,A,626396,347638,974034
06/13/2004,U,418700,237263,655963
06/14/2004,W,947940,569479,1517419
06/15/2004,W,973303,591145,1564448
06/16/2004,W,948614,584517,1533131
06/17/2004,W,938259,585309,1523568
06/18/2004,W,945720,600582,1546302
06/19/2004,A,621841,336481,958322
06/20/2004,U,431055,231581,662636
06/21/2004,W,783458,540333,1323791
06/22/2004,W,959598,597441,1557039
06/23/2004,W,858709,578302,1437011
06/24/2004,W,828438,571439,1399877
06/25/2004,W,894184,629449,1523633
06/26/2004,A,611676,374748,986424
06/27/2004,U,430542,324978,755520
06/28/2004,W,853024,572918,1425942
06/29/2004,W,911992,643017,1555009
06/30/2004,W,906761,639979,1546740
07/01/2004,W,953538,646062,1599600
07/02/2004,W,937281,647738,1585019
07/03/2004,A,587961,418005,1005966
07/04/2004,U,446583,324563,771146
07/05/2004,U,420521,229820,650341
07/06/2004,W,877429,556428,1433857
07/07/2004,W,885461,568101,1453562
07/08/2004,W,909149,580508,1489657
07/09/2004,W,869159,560395,1429554
07/10/2004,A,593638,305695,899333
07/11/2004,U,418827,228013,646840
07/12/2004,W,883883,564588,1448471
07/13/2004,W,923012,571480,1494492
07/14/2004,W,906552,581198,1487750
07/15/2004,W,912348,615708,1528056
07/16/2004,W,898626,610788,1509414
07/17/2004,A,622104,365413,987517
07/18/2004,U,440154,271230,711384
07/19/2004,W,898918,593573,1492491
07/20/2004,W,896643,606660,1503303
07/21/2004,W,857917,590615,1448532
07/22/2004,W,858154,598156,1456310
07/23/2004,W,912722,590514,1503236
07/24/2004,A,586037,319483,905520
07/25/2004,U,425968,250189,676157
07/26/2004,W,852027,565461,1417488
07/27/2004,W,885055,590244,1475299
07/28/2004,W,883672,581804,1465476
07/29/2004,W,881356,574372,1455728
07/30/2004,W,918563,599378,1517941
07/31/2004,A,646791,376947,1023738
08/01/2004,U,455048,251600,706648
08/02/2004,W,882460,544308,1426768
08/03/2004,W,933741,570440,1504181
08/04/2004,W,867932,556467,1424399
08/05/2004,W,918039,572708,1490747
